01,L' Abergement-Clémenciat,785
01,L' Abergement-de-Varey,244
01,Ambérieu-en-Bugey,14518
01,Ambérieux-en-Dombes,1705
01,Ambléon,116
01,Ambronay,2788
01,Ambutrix,763
01,Andert-et-Condon,344
01,Anglefort,1142
01,Apremont,394
01,Aranc,330
01,Arandas,151
01,Arbent,3470
01,Arbigny,466
01,Arboys en Bugey,656
01,Argis,452
01,Armix,26
01,Ars-sur-Formans,1418
01,Artemare,1248
01,Asnières-sur-Saône,66
01,Attignat,3336
01,Bâgé-Dommartin,4191
01,Bâgé-le-Châtel,971
01,Balan,2920
01,Baneins,606
01,Béard-Géovreissiat,1066
01,Beaupont,694
01,Beauregard,908
01,Béligneux,3345
01,Bellegarde-sur-Valserine,11965
01,Belley,9542
01,Belleydoux,326
01,Bellignat,3852
01,Belmont-Luthézieu,606
01,Bénonces,298
01,Bény,783
01,Béon,472
01,Béréziat,501
01,Bettant,771
01,Bey,290
01,Beynost,4674
01,Billiat,626
01,Birieux,289
01,Biziat,866
01,Blyes,1017
01,Bohas-Meyriat-Rignat,915
01,La Boisse,3074
01,Boissey,345
01,Bolozon,90
01,Bouligneux,325
01,Bourg-en-Bresse,43454
01,Bourg-Saint-Christophe,1353
01,Boyeux-Saint-Jérôme,360
01,Boz,525
01,Brégnier-Cordon,868
01,Brénaz,106
01,Brénod,544
01,Brens,1196
01,Bressolles,912
01,Brion,523
01,Briord,1004
01,Buellas,1814
01,La Burbanche,71
01,Ceignes,264
01,Cerdon,798
01,Certines,1573
01,Cessy,4955
01,Ceyzériat,3203
01,Ceyzérieu,1038
01,Chalamont,2438
01,Chaleins,1329
01,Chaley,138
01,Challes-la-Montagne,195
01,Challex,1467
01,Champagne-en-Valromey,850
01,Champdor-Corcelles,672
01,Champfromier,744
01,Chanay,647
01,Chaneins,913
01,Chanoz-Châtenay,851
01,La Chapelle-du-Châtelard,392
01,Charix,295
01,Charnoz-sur-Ain,951
01,Château-Gaillard,2138
01,Châtenay,342
01,Châtillon-en-Michaille,3656
01,Châtillon-la-Palud,1649
01,Châtillon-sur-Chalaronne,5095
01,Chavannes-sur-Reyssouze,764
01,Chaveyriat,1036
01,Chavornay,230
01,Chazey-Bons,1113
01,Chazey-sur-Ain,1549
01,Cheignieu-la-Balme,142
01,Chevillard,162
01,Chevroux,974
01,Chevry,1700
01,Chézery-Forens,471
01,Civrieux,1684
01,Cize,174
01,Cleyzieu,137
01,Coligny,1212
01,Collonges,2272
01,Colomieu,132
01,Conand,122
01,Condamine,451
01,Condeissiat,832
01,Confort,631
01,Confrançon,1360
01,Contrevoz,515
01,Conzieu,154
01,Corbonod,1290
01,Corlier,114
